chr,start,end,strand,pvalue,qvalue,meth.diff
Chr4,26324385,26324485,*,1.28026595057541e-06,0.621584482195771,0.604214368830467
Chr5,17531066,17531166,*,1.93371310443532e-05,0.911788734741697,-0.319122782755851
Chr3,17405178,17405278,*,6.14699495566924e-05,0.911788734741697,0.284631067767581
Chr5,21111526,21111626,*,7.64888472889676e-05,0.911788734741697,0.205673244741964
Chr1,13749474,13749574,*,8.48299689951415e-05,0.911788734741697,0.344091510905605
Chr3,29777339,29777439,*,8.71699001521213e-05,0.911788734741697,0.298876991129302
Chr2,18552681,18552781,*,0.000113616213304378,0.911788734741697,-0.157560674167811
Chr1,12394620,12394720,*,0.000114486743728977,0.911788734741697,0.447255394688888
Chr1,5793681,5793781,*,0.000115651092611314,0.911788734741697,-0.261495795053247
Chr2,2189819,2189919,*,0.000119995834123661,0.911788734741697,0.330147206498489
Chr1,29467256,29467356,*,0.000122820636902434,0.911788734741697,0.210934437116517
Chr2,2414271,2414371,*,0.00012985871498555,0.911788734741697,0.234872672453515
Chr1,15981718,15981818,*,0.000131757729545209,0.911788734741697,0.121987078430098
Chr3,16299226,16299326,*,0.000142236245446921,0.911788734741697,-0.32362506627098
Chr2,18745891,18745991,*,0.000154830605203465,0.911788734741697,0.267336219171914
Chr4,22775360,22775460,*,0.000156276324064596,0.911788734741697,-0.360219363827105
Chr1,25341554,25341654,*,0.000166973351265775,0.911788734741697,-0.266993582059155
Chr1,21025767,21025867,*,0.000168864379666178,0.911788734741697,0.185432982846546
Chr1,22519230,22519330,*,0.000177283461088751,0.911788734741697,-0.301148585567951
Chr4,9024093,9024193,*,0.000185586137216472,0.911788734741697,-0.200673784784806
Chr2,7602535,7602635,*,0.000211463831660687,0.911788734741697,0.304929714676717
Chr3,15254961,15255061,*,0.000219733523320319,0.911788734741697,-0.125791241498763
Chr1,28451398,28451498,*,0.000230762593132734,0.911788734741697,-0.393494260776084
Chr5,26586230,26586330,*,0.000239836926805605,0.911788734741697,0.345267404152262
Chr4,27880018,27880118,*,0.00024565639336442,0.911788734741697,0.166622198497475
Chr2,3930994,3931094,*,0.000251683384365432,0.911788734741697,0.178686981308361
Chr1,6595258,6595358,*,0.000266678144106634,0.911788734741697,-0.277048434286078
Chr1,7262195,7262295,*,0.00027394573965394,0.911788734741697,0.266897468524039
Chr1,21102730,21102830,*,0.000289211910213665,0.911788734741697,-0.129280763382633
Chr5,22667298,22667398,*,0.000302421620768332,0.911788734741697,0.175784813044722
Chr4,13079966,13080066,*,0.000306956207701888,0.911788734741697,0.20676005542029
Chr4,12092903,12093003,*,0.000307792331993216,0.911788734741697,0.362996947415439
Chr2,21437177,21437277,*,0.000313025514111855,0.911788734741697,-0.213882439433452
Chr5,2232931,2233031,*,0.000313756487678222,0.911788734741697,0.467320117753785
Chr1,16175877,16175977,*,0.000325160594156402,0.911788734741697,-0.552386823718852
